Date,Open,High,Low,Close,Adj Close,Volume
2018-01-29,178.300003,178.699997,177.240005,177.770004,164.162445,6091900
2018-01-30,177.100006,177.669998,170.850006,172.479996,159.277344,9613000
2018-01-31,173.600006,174.300003,170.270004,171.139999,158.039932,7004200
2018-02-01,170.270004,173.539993,168.889999,171.899994,158.741730,4751300
2018-02-02,170.800003,172.729996,168.990005,169.380005,156.414658,4604500
2018-02-05,168.610001,169.460007,153.860001,163.850006,151.307953,7309300
2018-02-06,158.350006,166.050003,158.250000,165.179993,152.536148,7020000
2018-02-07,164.860001,168.259995,164.520004,165.710007,153.025604,4974000
2018-02-08,165.690002,165.729996,158.759995,158.970001,146.801483,5656000
2018-02-09,159.979996,161.979996,155.229996,160.800003,148.491394,7187100
2018-02-12,162.369995,165.889999,161.500000,163.899994,151.354126,5255900
2018-02-13,163.000000,163.830002,161.720001,162.399994,149.968933,5406000
2018-02-14,161.440002,162.020004,159.679993,159.990005,147.743408,5865600
2018-02-15,161.139999,161.520004,158.809998,160.779999,148.472931,5012100
2018-02-16,159.470001,159.899994,157.759995,157.789993,145.711792,7165800
2018-02-20,157.000000,159.160004,156.279999,157.160004,145.130035,5211100
2018-02-21,157.759995,161.320007,157.600006,158.639999,146.496765,7833400
2018-02-22,158.949997,161.399994,158.899994,160.660004,148.362137,4398200
2018-02-23,161.440002,163.309998,161.440002,163.059998,150.578430,4272400
2018-02-26,164.000000,164.750000,162.300003,163.580002,151.058609,4525200
2018-02-27,164.190002,164.500000,160.639999,160.660004,148.362137,4907500
2018-02-28,160.429993,161.210007,157.720001,157.740005,146.587158,6116800
2018-03-01,157.800003,160.429993,155.210007,155.699997,144.691422,5609000
2018-03-02,148.910004,150.449997,146.839996,148.270004,137.786743,11754300
2018-03-05,148.279999,151.479996,147.919998,151.029999,140.351593,6397800
2018-03-06,151.250000,151.710007,150.130005,151.199997,140.509552,5015400
2018-03-07,149.860001,152.740005,149.679993,152.380005,141.606140,4492000
2018-03-08,152.729996,154.610001,152.649994,154.440002,143.520493,4291400
2018-03-09,155.619995,157.729996,154.839996,157.240005,146.122543,5076500
2018-03-12,157.740005,159.449997,157.509995,157.740005,146.587158,4461500
2018-03-13,158.559998,159.889999,158.210007,158.220001,147.033249,4333100
2018-03-14,159.000000,159.509995,157.240005,158.240005,147.051819,3879000
2018-03-15,158.710007,162.149994,158.589996,161.610001,150.183548,5925700
2018-03-16,161.880005,163.229996,161.580002,162.360001,150.880539,14293800
2018-03-19,162.000000,162.360001,158.210007,159.009995,147.767380,4307600
2018-03-20,159.750000,160.669998,159.250000,159.380005,148.111221,3105100
2018-03-21,160.000000,160.410004,158.289993,158.660004,147.442139,3871900
2018-03-22,157.850006,159.119995,156.850006,157.039993,145.936676,3669400
2018-03-23,157.589996,157.779999,154.919998,154.979996,144.022324,3447400
2018-03-26,156.210007,158.199997,156.210007,158.009995,146.838074,3477000
2018-03-27,158.500000,159.770004,156.470001,157.479996,146.345551,3519100
2018-03-28,157.839996,159.759995,157.820007,158.410004,147.209808,3913200
2018-03-29,159.000000,159.830002,156.380005,156.380005,145.323318,5289500
2018-04-02,158.270004,160.160004,155.250000,157.720001,146.568619,6960100
2018-04-03,157.979996,160.529999,157.300003,160.399994,149.059097,4719400
2018-04-04,158.500000,162.149994,157.880005,161.729996,150.295074,4888000
2018-04-05,162.399994,164.559998,161.750000,163.949997,152.358109,4503900
2018-04-06,162.419998,163.779999,160.910004,161.250000,149.849014,4321900
2018-04-09,162.220001,163.570007,161.059998,161.229996,149.830429,3581500
2018-04-10,162.830002,163.960007,162.050003,162.770004,151.261536,3902600
2018-04-11,162.500000,164.059998,162.279999,163.339996,151.791229,2711100
2018-04-12,163.589996,165.399994,161.539993,161.619995,150.192825,5178900
2018-04-13,162.160004,163.160004,161.259995,161.729996,150.295074,2452800
2018-04-16,161.300003,162.440002,160.860001,161.630005,150.202133,3115200
2018-04-17,162.389999,163.479996,162.059998,162.550003,151.057083,2861900
2018-04-18,162.589996,163.309998,161.740005,161.809998,150.369385,2503100
2018-04-19,161.610001,162.100006,158.779999,159.529999,148.250626,3276600
2018-04-20,159.330002,160.729996,158.509995,158.770004,147.544357,3961200
2018-04-23,158.970001,159.690002,158.149994,158.990005,147.748779,3051900
2018-04-24,159.750000,159.830002,156.759995,157.320007,146.196869,2904400
2018-04-25,157.089996,157.339996,155.009995,155.940002,144.914444,3710200
2018-04-26,156.460007,159.460007,155.649994,158.899994,147.665131,3680600
2018-04-27,159.479996,159.850006,158.210007,158.300003,147.107574,4141500
2018-04-30,164.690002,167.949997,163.750000,167.440002,155.601349,12954700
2018-05-01,166.380005,166.500000,162.100006,163.440002,151.884171,6560100
2018-05-02,162.149994,163.199997,160.440002,160.679993,149.319321,4318400
2018-05-03,160.600006,160.839996,159.080002,160.080002,148.761719,3450100
2018-05-04,159.949997,165.449997,159.899994,165.029999,153.361740,4283600
