Date,Open,High,Low,Close,Adj Close,Volume
2020-05-01,38.779999,39.470001,38.340000,39.250000,38.748398,13894700
2020-05-04,39.279999,39.869999,39.060001,39.830002,39.320992,10219900
2020-05-05,39.919998,40.759998,39.770000,40.320000,39.804729,12414200
2020-05-06,40.639999,41.090000,40.189999,40.950001,40.426674,11026000
2020-05-07,41.270000,41.610001,41.060001,41.369999,40.841305,12588900
2020-05-08,41.700001,42.439999,41.700001,42.150002,41.611343,8946000
2020-05-11,41.880001,42.430000,41.599998,42.130001,41.591595,13731700
2020-05-12,42.240002,42.860001,41.779999,42.000000,41.463257,9548400
2020-05-13,41.779999,42.380001,41.049999,41.580002,41.048626,11041700
2020-05-14,41.310001,42.090000,40.810001,42.040001,41.502747,11165100
2020-05-15,41.459999,42.470001,41.380001,42.110001,41.571854,13183200
2020-05-18,42.599998,42.900002,42.330002,42.500000,41.956867,8882200
2020-05-19,42.459999,43.180000,42.389999,42.400002,41.858150,13600300
2020-05-20,43.000000,43.340000,42.439999,42.709999,42.164181,9282500
2020-05-21,42.750000,42.930000,42.240002,42.470001,41.927250,8281700
2020-05-22,42.250000,43.500000,42.209999,43.450001,42.894730,9879700
2020-05-26,43.990002,44.279999,43.310001,43.360001,42.805878,9548900
2020-05-27,43.299999,44.180000,42.860001,44.150002,43.585785,8706500
2020-05-28,44.139999,44.980000,44.009998,44.230000,43.664757,12476300
2020-05-29,44.299999,45.650002,43.880001,45.540001,45.121243,18741500
2020-06-01,45.400002,45.970001,45.009998,45.200001,44.784370,8931500
2020-06-02,45.240002,46.230000,45.139999,45.980000,45.557198,9959000
2020-06-03,46.349998,46.720001,46.080002,46.450001,46.022877,7599200
2020-06-04,51.340000,51.880001,48.799999,49.360001,48.906116,32274600
2020-06-05,49.240002,49.700001,48.240002,48.820000,48.371082,16332600
2020-06-08,48.299999,49.049999,47.840000,48.720001,48.271999,12182400
2020-06-09,48.869999,50.000000,48.570000,49.750000,49.292530,9699800
2020-06-10,50.250000,50.340000,49.070000,49.250000,48.797127,10545900
2020-06-11,49.430000,49.820000,47.689999,47.939999,47.499172,10563900
2020-06-12,48.389999,48.830002,46.849998,47.660000,47.221745,10056500
2020-06-15,46.939999,48.119999,46.639999,47.889999,47.449631,12464800
2020-06-16,48.490002,48.730000,47.540001,48.119999,47.677517,9642900
2020-06-17,48.259998,49.099998,48.209999,48.430000,47.984669,9692100
2020-06-18,48.549999,49.090000,48.180000,48.439999,47.994572,11344000
2020-06-19,48.730000,48.950001,47.419998,48.290001,47.845955,36555400
2020-06-22,48.340000,49.320000,48.009998,49.160000,48.707954,9223500
2020-06-23,49.590000,50.320000,49.099998,49.799999,49.342072,12289300
2020-06-24,49.799999,50.450001,48.650002,48.770000,48.321541,13009000
2020-06-25,48.720001,49.540001,48.410000,49.400002,48.945751,10268700
2020-06-26,50.889999,51.279999,50.080002,50.889999,50.422047,17762400
2020-06-29,51.070000,51.340000,50.119999,51.310001,50.838184,8933900
2020-06-30,51.419998,52.750000,51.320000,52.450001,51.967705,10559900
2020-07-01,52.709999,53.430000,51.320000,52.959999,52.473011,12879800
2020-07-02,53.590000,54.880001,53.549999,54.360001,53.860142,8468400
2020-07-06,55.490002,56.970001,54.939999,56.169998,55.653492,9889300
2020-07-07,55.950001,57.549999,55.930000,57.000000,56.475864,10641800
2020-07-08,57.349998,58.459999,57.160000,58.270000,57.734184,11127200
2020-07-09,58.730000,60.529999,58.520000,59.220001,58.675449,15414600
2020-07-10,59.349998,59.889999,58.119999,59.270000,58.724991,11750700
2020-07-13,60.290001,61.060001,57.889999,58.299999,57.763912,13128100
2020-07-14,57.750000,59.290001,57.279999,59.080002,58.536739,10054000
2020-07-15,58.820000,59.130001,57.240002,58.389999,57.853077,10724800
