Date,Open,High,Low,Close,Adj Close,Volume
2020-02-25,54.790001,55.110001,51.785000,51.990002,51.990002,2393300
2020-02-26,52.520000,53.090000,49.250000,49.369999,49.369999,2430800
2020-02-27,47.060001,48.799999,45.220001,46.180000,46.180000,3055200
2020-02-28,44.150002,48.490002,44.000000,48.110001,48.110001,2634100
2020-03-02,48.450001,48.889999,46.070000,48.549999,48.549999,2736300
2020-03-03,49.000000,49.650002,46.860001,48.930000,48.930000,3142000
2020-03-04,50.000000,53.009998,48.950001,52.759998,52.759998,2896500
2020-03-05,51.340000,52.360001,50.020000,51.619999,51.619999,2090600
2020-03-06,49.830002,52.150002,48.674999,51.900002,51.900002,3731100
2020-03-09,48.259998,50.430000,47.520000,49.720001,49.720001,3539900
2020-03-10,51.369999,51.630001,46.099998,48.730000,48.730000,3929600
2020-03-11,47.820000,47.820000,41.500000,42.630001,42.630001,3161200
2020-03-12,37.500000,38.430000,34.320000,35.500000,35.500000,4164400
2020-03-13,37.689999,38.480000,34.570000,37.869999,37.869999,3500800
2020-03-16,34.000000,42.360001,33.910000,36.349998,36.349998,6827200
2020-03-17,38.759998,45.490002,34.980000,40.779999,40.779999,5985700
2020-03-18,38.330002,39.603001,31.500000,35.849998,35.849998,6169600
2020-03-19,35.400002,38.410000,33.369999,36.810001,36.810001,3234200
2020-03-20,38.040001,38.970001,31.700001,31.709999,31.709999,4985400
2020-03-23,32.590000,32.959999,29.350000,30.129999,30.129999,3531600
2020-03-24,31.750000,35.889999,30.820000,34.650002,34.650002,3770800
2020-03-25,35.799999,39.369999,34.369999,35.750000,35.750000,3843300
2020-03-26,36.509998,39.029999,35.540001,38.160000,38.160000,4220000
2020-03-27,37.240002,39.849998,35.669998,39.160000,39.160000,5243500
2020-03-30,39.540001,40.820000,37.500000,39.549999,39.549999,2411000
2020-03-31,39.580002,40.990002,39.259998,40.730000,40.730000,2490800
2020-04-01,39.270000,40.520000,38.220001,39.580002,39.580002,2724500
2020-04-02,38.970001,40.570000,34.000000,34.820000,34.820000,4561800
2020-04-03,34.560001,36.439999,34.130001,34.270000,34.270000,2860500
2020-04-06,36.049999,39.880001,36.000000,39.689999,39.689999,3143100
2020-04-07,41.540001,43.860001,40.810001,42.090000,42.090000,2941700
2020-04-08,42.740002,44.834999,42.299999,43.740002,43.740002,1718900
2020-04-09,44.950001,46.980000,44.169998,45.090000,45.090000,3077900
2020-04-13,41.349998,43.230000,38.520000,39.680000,39.680000,6369300
2020-04-14,41.500000,43.119999,40.930000,41.799999,41.799999,5341900
2020-04-15,40.000000,40.810001,39.200001,40.349998,40.349998,2940500
2020-04-16,40.770000,40.959999,39.224998,40.299999,40.299999,3507900
2020-04-17,41.750000,42.660000,40.875000,42.500000,42.500000,4342600
2020-04-20,41.380001,43.799999,41.000000,42.500000,42.500000,2750400
2020-04-21,41.520000,41.799999,39.509998,40.930000,40.930000,3977300
2020-04-22,41.950001,43.840000,41.404999,43.340000,43.340000,4008100
2020-04-23,43.860001,44.340000,41.180000,42.049999,42.049999,2181800
2020-04-24,42.500000,44.650002,42.209999,43.520000,43.520000,2435400
2020-04-27,42.820000,47.209999,42.820000,46.680000,46.680000,3006100
2020-04-28,48.090000,48.959999,44.939999,46.330002,46.330002,3955200
2020-04-29,47.799999,48.490002,46.450001,47.470001,47.470001,2323300
2020-04-30,47.299999,48.130001,45.650002,47.790001,47.790001,2850200
2020-05-01,46.410000,47.200001,44.639999,45.490002,45.490002,2612400
2020-05-04,44.590000,46.790001,43.849998,46.630001,46.630001,2159800
2020-05-05,47.549999,48.740002,47.250000,47.790001,47.790001,2537500
2020-05-06,48.290001,51.189999,47.610001,50.830002,50.830002,5853500
2020-05-07,48.000000,49.500000,43.259998,44.889999,44.889999,9368100
2020-05-08,45.840000,47.520000,45.029999,46.820000,46.820000,6578800
2020-05-11,46.139999,47.400002,44.601002,46.790001,46.790001,6584700
2020-05-12,46.950001,64.940002,46.599998,60.389999,60.389999,46200800
2020-05-13,58.509998,59.299999,55.730000,58.139999,58.139999,13826900
2020-05-14,56.689999,57.150002,52.000000,54.720001,54.720001,13408400
2020-05-15,54.560001,56.740002,52.770000,54.970001,54.970001,9286200
2020-05-18,55.000000,58.689999,54.993999,57.669998,57.669998,5944300
2020-05-19,57.250000,59.270000,55.750000,57.430000,57.430000,3712300
2020-05-20,58.259998,58.790001,57.180000,57.520000,57.520000,7557200
2020-05-21,57.540001,59.040001,55.910000,56.340000,56.340000,5024500
2020-05-22,56.480000,57.400002,55.549999,57.349998,57.349998,2086900
2020-05-26,57.980000,58.490002,57.020000,57.270000,57.270000,2712600
2020-05-27,57.750000,57.750000,54.060001,55.360001,55.360001,3272900
2020-05-28,55.410000,55.680000,52.660000,52.830002,52.830002,3113900
2020-05-29,53.000000,57.810001,52.789001,56.740002,56.740002,11509600
2020-06-01,56.529999,59.110001,55.900002,58.750000,58.750000,2718000
2020-06-02,58.680000,59.080002,56.700001,57.470001,57.470001,2442600
2020-06-03,58.259998,59.150002,58.020000,58.490002,58.490002,1961300
2020-06-04,58.410000,59.470001,56.700001,57.520000,57.520000,1820700
2020-06-05,58.930000,64.190002,57.689999,60.529999,60.529999,10064900
2020-06-08,60.830002,61.000000,55.080002,57.500000,57.500000,7302700
2020-06-09,56.700001,59.040001,56.610001,57.919998,57.919998,2298900
2020-06-10,58.000000,60.000000,55.049999,59.049999,59.049999,18207700
2020-06-11,62.110001,63.880001,61.049999,61.790001,61.790001,20306100
2020-06-12,62.660000,63.630001,58.939999,60.380001,60.380001,7281700
2020-06-15,59.900002,61.200001,59.259998,61.000000,61.000000,4572200
2020-06-16,63.299999,63.939999,62.750000,63.340000,63.340000,4013000
2020-06-17,64.550003,65.470001,63.599998,64.459999,64.459999,3099000
2020-06-18,64.000000,64.239998,63.310001,63.770000,63.770000,3470100
2020-06-19,64.500000,64.989998,63.006001,63.880001,63.880001,2998900
2020-06-22,64.860001,66.419998,64.269997,66.000000,66.000000,2702000
2020-06-23,67.000000,70.220001,66.760002,70.059998,70.059998,3742500
2020-06-24,68.830002,69.260002,67.010002,68.449997,68.449997,3687600
2020-06-25,68.000000,69.059998,67.400002,68.949997,68.949997,2526800
2020-06-26,69.629997,69.639999,68.290001,69.050003,69.050003,4836200
2020-06-29,69.489998,70.260002,68.720001,69.720001,69.720001,1789300
2020-06-30,68.949997,70.879997,68.629997,70.300003,70.300003,2259700
2020-07-01,70.500000,70.699997,68.688004,69.129997,69.129997,2666900
2020-07-02,70.209999,70.669998,69.621002,69.870003,69.870003,1472500
2020-07-06,71.550003,73.430000,71.050003,72.959999,72.959999,4692800
2020-07-07,72.000000,72.830002,71.070000,71.070000,71.070000,3843300
2020-07-08,72.000000,72.000000,70.180000,70.900002,70.900002,1872000
2020-07-09,71.169998,72.114998,70.360001,71.470001,71.470001,936700
2020-07-10,71.000000,71.959999,70.410004,71.870003,71.870003,710200
2020-07-13,72.000000,72.500000,69.029999,69.519997,69.519997,2365700
2020-07-14,69.230003,70.199997,68.650002,69.970001,69.970001,1631800
2020-07-15,70.400002,70.775002,69.000000,69.430000,69.430000,2659500
2020-07-16,69.279999,70.430000,68.730003,69.769997,69.769997,1786700
2020-07-17,69.599998,70.209999,69.190002,70.150002,70.150002,605000
2020-07-20,70.379997,70.900002,69.970001,70.050003,70.050003,962700
2020-07-21,71.709999,71.900002,70.370003,70.959999,70.959999,1109500
2020-07-22,70.720001,71.580002,69.900002,70.769997,70.769997,681900
2020-07-23,71.339996,71.339996,69.000000,69.489998,69.489998,995000
2020-07-24,69.000000,69.750000,68.410004,68.849998,68.849998,1466800
2020-07-27,71.120003,71.605003,70.430000,71.000000,71.000000,1816800
2020-07-28,71.209999,71.699997,70.099998,70.099998,70.099998,850300
2020-07-29,71.500000,71.779999,70.720001,71.080002,71.080002,2334800
2020-07-30,70.099998,70.949997,69.589996,70.199997,70.199997,1160400
2020-07-31,71.500000,72.260002,71.139999,72.239998,72.239998,1814500
2020-08-03,72.610001,74.680000,72.500000,73.550003,73.550003,1214500
2020-08-04,72.410004,73.449997,72.309998,72.989998,72.989998,657600
2020-08-05,73.480003,75.569000,73.379997,74.379997,74.379997,1118300
2020-08-06,74.610001,75.849998,74.610001,75.000000,75.000000,579800
2020-08-07,74.750000,76.105003,74.540001,75.010002,75.010002,1133100
2020-08-10,75.330002,75.330002,74.019997,74.860001,74.860001,515500
2020-08-11,75.000000,75.290001,73.400002,73.750000,73.750000,697100
2020-08-12,77.099998,78.379997,76.309998,77.260002,77.260002,2001200
2020-08-13,78.199997,78.800003,76.669998,77.639999,77.639999,1299000
2020-08-14,77.660004,78.180000,76.459999,76.750000,76.750000,1107300
2020-08-17,76.750000,78.139999,76.750000,77.559998,77.559998,801400
2020-08-18,78.629997,79.110001,78.059998,78.199997,78.199997,1256700
2020-08-19,78.809998,79.180000,77.760002,78.199997,78.199997,1492100
2020-08-20,77.680000,77.680000,76.269997,77.040001,77.040001,1288900
2020-08-21,77.500000,77.610001,75.879997,76.330002,76.330002,2057000
2020-08-24,77.000000,77.184998,74.419998,74.830002,74.830002,2345400
2020-08-25,74.940002,75.379997,74.510002,74.769997,74.769997,1525000
2020-08-26,74.699997,75.529999,74.599998,75.000000,75.000000,3614000
2020-08-27,75.360001,75.589996,72.660004,73.459999,73.459999,1265000
2020-08-28,73.389999,73.800003,72.930000,73.000000,73.000000,1217800
2020-08-31,73.580002,73.730003,72.209999,72.349998,72.349998,1789600
2020-09-01,73.199997,73.410004,72.279999,72.489998,72.489998,2357100
2020-09-02,73.550003,73.550003,71.510002,71.839996,71.839996,2893100
2020-09-03,71.389999,71.860001,68.540001,69.360001,69.360001,2812600
2020-09-04,69.320000,69.760002,67.000000,68.820000,68.820000,2604900
2020-09-08,67.790001,69.680000,67.790001,68.519997,68.519997,2636200
2020-09-09,69.879997,70.139999,69.339996,69.760002,69.760002,1898900
2020-09-10,70.000000,70.199997,68.860001,69.059998,69.059998,1492100
2020-09-11,69.250000,69.919998,68.449997,69.180000,69.180000,933000
2020-09-14,70.000000,70.010002,69.519997,69.900002,69.900002,1522200
2020-09-15,70.750000,70.949997,70.139999,70.269997,70.269997,1143500
2020-09-16,70.870003,70.870003,68.839996,68.930000,68.930000,2020700
2020-09-17,68.730003,70.089996,67.070000,68.830002,68.830002,2947100
2020-09-18,69.809998,70.900002,69.129997,69.250000,69.250000,3100300
2020-09-21,69.570000,70.500000,68.610001,70.230003,70.230003,3279300
2020-09-22,71.660004,73.500000,71.260002,72.980003,72.980003,2813300
